Research_paper,Question,Chunking Overlap,answer_relevancy,faithfulness,answer_correctness
1,1,90,0.8950439458380884,0.95,0.22595649609671242
1,1,120,0.8949892054987172,1.0,0.28150239558698653
1,1,150,0.8950439458380884,0.7222222222222222,0.27771672608181797
1,1,180,0.9501141889824916,0.72,0.269676133105668
1,1,210,0.872490301436415,0.8823529411764706,0.2810263810693414
1,2,90,0.934739228925299,1.0,0.7288636277487333
1,2,120,0.8570471795523885,1.0,0.5197385279167774
1,2,150,0.8025528061674785,1.0,0.9191694927215033
1,2,180,0.926387422314292,0.8421052631578947,0.6615243939724484
1,2,210,0.9260972951949958,0.9473684210526315,0.6745687933412894
1,3,90,0.8819445465639812,1.0,0.4203525536732522
1,3,120,0.8991077698079611,1.0,0.42185576021064863
1,3,150,0.8726922129705911,1.0,0.40658667109560753
1,3,180,0.8967652293317893,1.0,0.414958677019032
1,3,210,0.877512204008238,1.0,0.3987601572411223
