Research_paper,Question,Chunking Size,answer_relevancy,faithfulness,answer_correctness
1,1,900,,,
1,1,1200,,,
1,1,1500,,,
1,1,1800,,,
1,1,2100,,,
1,2,900,,,
1,2,1200,,,
1,2,1500,,,
1,2,1800,,,
1,2,2100,,,
1,3,900,,,
1,3,1200,,,
1,3,1500,,,
1,3,1800,,,
1,3,2100,,,
2,1,900,0.8364374179792317,1.0,0.2139117386234268
2,1,1200,0.8003124860938714,0.85,0.21380723979355465
2,1,1500,0.814463099885287,0.8695652173913043,0.20631658519585339
2,1,1800,0.8621452703345547,0.8333333333333334,0.21286447437571276
2,1,2100,0.8053267945532867,0.9523809523809523,0.2025943828006951
2,2,900,0.9723375166309699,0.5862068965517241,0.5019521881341544
2,2,1200,0.9722350001938497,0.6896551724137931,0.373514953785022
2,2,1500,0.9865474699235526,0.55,0.41682358416600207
2,2,1800,0.9865474699235526,0.7777777777777778,0.4133300565834299
2,2,2100,0.9865404995067067,0.5238095238095238,0.459891114238624
2,3,900,0.9865205948239002,0.7894736842105263,0.382531373194988
2,3,1200,0.9856163085489756,0.8095238095238095,0.37045620605832
2,3,1500,0.9822164852206158,0.9310344827586207,0.5634596138773293
2,3,1800,0.9856240055790162,0.7368421052631579,0.4908055421175551
2,3,2100,0.9866582270098144,0.6818181818181818,0.37257615201041383
